origin,event_id,as_of,legal_known,treatment_known,national_candidate_eligible,reason,event_effective_from,h_effective
2019-02,CAP23_FIXED,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,ERU2020_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2020-01,11
2019-02,ERU2020_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2020-01,11
2019-02,ERU2021_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2021-01,23
2019-02,ERU2021_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2021-01,23
2019-02,ERU2022_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-01,35
2019-02,ERU2022_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-01,35
2019-02,ERU2023_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,ERU2023_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,47
2019-02,ERU2024_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
2019-02,ERU2024_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
2019-02,ERU2025_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2025-01,71
2019-02,ERU2025_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2025-01,71
2019-02,ERU2026_ELECTRICITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,83
2019-02,ERU2026_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,83
2019-02,POZE24_CAPACITY,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
2019-02,POZE24_CEILING,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,59
2019-02,POZE26_ADOPT,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,83
2019-02,ERU26_FINAL_AVG,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,83
2019-02,CEZ26_D02,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,83
2019-02,CEZ26_GAS,2019-03-10T22:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,83
2019-03,VAT21_START,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2021-11,32
2019-03,VAT21_EXPIRY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-01,34
2019-03,POZE22_ANNOUNCE,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-10,43
2019-03,POZE23_ADOPT,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,POZE24_EXPIRY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,SAVING22_LOW,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-10,43
2019-03,SAVING22_HIGH,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-10,43
2019-03,SAVING22_EXPIRY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,SAVING23_CANCEL,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,CAP23_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,CAP24_EXPIRY_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,CAP23_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,CAP24_EXPIRY_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,CAP23_FIXED,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,ERU2020_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2020-01,10
2019-03,ERU2020_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2020-01,10
2019-03,ERU2021_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2021-01,22
2019-03,ERU2021_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2021-01,22
2019-03,ERU2022_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-01,34
2019-03,ERU2022_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2022-01,34
2019-03,ERU2023_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,ERU2023_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2023-01,46
2019-03,ERU2024_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,ERU2024_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,ERU2025_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2025-01,70
2019-03,ERU2025_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2025-01,70
2019-03,ERU2026_ELECTRICITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,82
2019-03,ERU2026_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,82
2019-03,POZE24_CAPACITY,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,POZE24_CEILING,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2024-01,58
2019-03,POZE26_ADOPT,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,82
2019-03,ERU26_FINAL_AVG,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,82
2019-03,CEZ26_D02,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,82
2019-03,CEZ26_GAS,2019-04-09T21:59:00+00:00,False,False,False,"missing:CPI_treatment,national_exposure,baseline_energy_subpath",2026-01,82
