candidate,reference,frame,block,n,delta,lower,upper,draws,seed,coverage,selection_status
R9_HALF,R9_BASE,all,3,90,-0.004255109091485798,-0.010818601196584562,0.003995210948816986,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
TARGET_OWN,R9_BASE,all,6,90,-0.009004554933710773,-0.027371763479908728,0.009757055773683024,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
TARGET_OWN,R9_BASE,all,12,90,-0.009004554933710773,-0.02678316371676337,0.003979275811359045,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
TARGET_OWN,R9_BASE,2024+,3,31,-0.021180159382400088,-0.04219246022542719,0.003742492527352597,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
TARGET_OWN,R9_BASE,2024+,6,31,-0.021180159382400088,-0.03688412807577007,-0.005092083324906128,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
TARGET_OWN,R9_BASE,2024+,12,31,-0.021180159382400088,-0.03545386970866726,-0.005534352506256945,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_SEPARATE,R9_BASE,all,3,90,-0.010739736052325644,-0.028873322665851634,0.011510435219218976,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_SEPARATE,R9_BASE,all,6,90,-0.010739736052325644,-0.026966173386575476,0.006063351521362294,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_SEPARATE,R9_BASE,all,12,90,-0.010739736052325644,-0.027014567264085555,0.0011579049227734405,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_SEPARATE,R9_BASE,2024+,3,31,-0.021572893950773553,-0.04119378646967484,0.0007183984770363963,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_SEPARATE,R9_BASE,2024+,6,31,-0.021572893950773553,-0.03697561972825316,-0.004904668600966924,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_SEPARATE,R9_BASE,2024+,12,31,-0.021572893950773553,-0.035701844950513664,-0.004966945018792673,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_12,R9_BASE,all,3,90,-0.011418306145703994,-0.02900734497784487,0.010387467769337941,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_12,R9_BASE,all,6,90,-0.011418306145703994,-0.026210390134120676,0.004686409165450833,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_12,R9_BASE,all,12,90,-0.011418306145703994,-0.026554320992116038,2.2836786022370065e-06,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_12,R9_BASE,2024+,3,31,-0.020713966552614815,-0.03868010899600364,-0.0003199305765982934,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_12,R9_BASE,2024+,6,31,-0.020713966552614815,-0.03466934923874441,-0.0048335933609152245,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_12,R9_BASE,2024+,12,31,-0.020713966552614815,-0.03423338405835156,-0.004981877056798072,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_48,R9_BASE,all,3,90,-0.010520746201225895,-0.027786334883052342,0.010527691269849197,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_48,R9_BASE,all,6,90,-0.010520746201225895,-0.02488562317680979,0.004480729847095491,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_48,R9_BASE,all,12,90,-0.010520746201225895,-0.024477641519321493,0.0016578823654998182,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_48,R9_BASE,2024+,3,31,-0.018343871815687196,-0.0324166503463116,-0.0005677654077069163,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_48,R9_BASE,2024+,6,31,-0.018343871815687196,-0.03052658839372266,-0.004003680461503656,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
POOL_48,R9_BASE,2024+,12,31,-0.018343871815687196,-0.02982428828101975,-0.004492197613150139,5000,42,pairwise,exploratory; no untouched historical holdout; multiple comparisons are not selection-adjusted
