origin,stage,family,band,config,status,converged,n_train,lambda_value,outer_origin,feature,value,training_mean,training_scale,raw_predictor_coefficient,annual_signal_change_coefficient
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,level,-0.13160362390766384,2.9947786602848994,1.231845402716046,-0.10683452941212944,
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,change3,0.10926327057267297,-0.0757042661240872,0.8470762640630097,0.12898870527736264,
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,change12,-0.03134630815502825,-0.365152212279592,2.1490561618411537,-0.01458608142105185,
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,unemployment_change3,-0.12058184267317484,-0.02708333333333331,0.5341424526493118,-0.2257484722944165,
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,ulc_growth12,0.06252133008444795,2.1508947960723703,1.824780035373145,0.03426239265691172,
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,ip_growth3,0.10357397279227833,0.08669237733903268,3.849101013443593,0.026908613837498645,
2010-04,signal,services,0,l1,estimated,True,48,1.0,False,penalized_constant,-0.03066096429414791,0.0,1.0,-0.03066096429414791,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,level,-0.13023725387831914,2.9580047506163787,1.2455465669699208,-0.10456233217771319,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,change3,0.10770596325339557,-0.07415928110114665,0.8384564004414625,0.12845744059761058,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,change12,-0.032670157395528907,-0.4329278677517599,2.1782282605989702,-0.014998500380554815,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,unemployment_change3,-0.1193124460676596,-0.026530612244897937,0.5286777924658496,-0.22568083579067055,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,ulc_growth12,0.061555247943153604,2.1529911574227567,1.8061222466758389,0.03408144053175016,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,ip_growth3,0.1029331737377831,0.06484673161903867,3.812627310908768,0.02699796369901369,
2010-05,signal,services,0,l1,estimated,True,49,1.0,False,penalized_constant,-0.028020934297169724,0.0,1.0,-0.028020934297169724,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,level,-0.12413800191151411,2.9305913539166313,1.2478708855859297,-0.0994798447062301,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,change3,0.10204573801368688,-0.06478653889709102,0.8326184716046057,0.12256002177927469,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,change12,-0.03203703343038978,-0.4613254655188092,2.165479056133906,-0.014794432363426523,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,unemployment_change3,-0.12222119887953974,-0.017999999999999988,0.5267599073581816,-0.23202449004235404,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,ulc_growth12,0.05967478724059132,2.155003664319127,1.7880253011506915,0.03337468837951418,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,ip_growth3,0.10147736767452605,0.10018833644177363,3.7824075526297465,0.026828776714971702,
2010-06,signal,services,0,l1,estimated,True,50,1.0,False,penalized_constant,-0.030088746200155104,0.0,1.0,-0.030088746200155104,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,level,-0.1208453393996655,2.9023221361805223,1.251641404408784,-0.09654949011274289,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,change3,0.0996959933063497,-0.057712211411899327,0.8259313642583332,0.12070735852957266,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,change12,-0.03231927932745794,-0.47914034728934607,2.1478410074596983,-0.015047333212844608,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,unemployment_change3,-0.12206876311351535,-0.00784313725490195,0.5264915831794322,-0.2318532090795332,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,ulc_growth12,0.05908198657115507,2.1407059074247443,1.7732932130996468,0.03331766350578993,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,ip_growth3,0.10167902394944682,0.09144905352887195,3.7456513377080998,0.027145885930659655,
2010-07,signal,services,0,l1,estimated,True,51,1.0,False,penalized_constant,-0.030787912763030733,0.0,1.0,-0.030787912763030733,
