ticker,alias,observations,first_date,last_date,last_value,median_interval_days,bdp_name,currency,quote_units,source,scheduled_release_date,adjustment_status,model_status,audit_note
CZIPITN Index,industrial_production_level_nsa,319,2000-01-31,2026-07-31,97.1,,Czech Republic Industrial Prod,,,Czech Statistical Office,2026-10-07T00:00:00.000Z,Index NSA,candidate,Monthly index level; seasonality visible; use local/X-13 SA lane. Bloomberg SEASONALITY_AND_TRANSFORMATION=Index NSA.
CZGRIDX Index,building_permits_raw_candidate,295,2002-01-31,2026-07-31,5622.0,,Total Number of Granted Buildi,,,Czech Statistical Office,,Units/Persons NSA,candidate pending CZSO cross-check,Direct monthly total count; not cumulative based on within-year path. Bloomberg SEASONALITY_AND_TRANSFORMATION=Units/Persons NSA.
LCTQCZI Index,nominal_ulc_quarterly,105,2000-03-31,2026-03-31,138.6,,Eurostat Unit Labor Cost Nomin,,,Eurostat,,Index NSA,candidate,Quarterly nominal ULC level; disaggregate prospectively. Bloomberg SEASONALITY_AND_TRANSFORMATION=Index NSA.
LCTOCZI Index,nominal_ulc_annual_benchmark,26,2000-12-31,2025-12-31,128.4,,Eurostat Unit Labor Cost Nomin,,,Eurostat,,Index Annual,annual benchmark only,Annual nominal ULC; never repeat as monthly input. Bloomberg SEASONALITY_AND_TRANSFORMATION=Index Annual.
EUS3CZ Index,services_demand_expectations_next3m,292,2002-05-31,2026-08-31,21.9,,EU Services Evolution of Deman,,,European Commission,,% Balance/Diffusion Index SA,candidate pending Eurostat BS-SAEM comparison,"Signed EC services demand expectation balance, next three months. Bloomberg SEASONALITY_AND_TRANSFORMATION=% Balance/Diffusion Index SA."
EUS5CZ Index,services_employment_expectations_next3m,292,2002-05-31,2026-08-31,-11.0,,EU Services Evolution of Emplo,,,European Commission,,% Balance/Diffusion Index SA,candidate pending Eurostat BS-SEEM comparison,"Signed EC services employment expectation balance, next three months. Bloomberg SEASONALITY_AND_TRANSFORMATION=% Balance/Diffusion Index SA."
EUB3CZ Index,construction_employment_expectations,320,2000-01-31,2026-08-31,3.6,,EC Construction Confidence Cze,,,European Commission,,% Balance/Diffusion Index SA,candidate pending official question comparison,"Signed EC construction employment expectation balance, next three months. Bloomberg SEASONALITY_AND_TRANSFORMATION=% Balance/Diffusion Index SA."
GRCPHCPI Index,germany_hicp_level_candidate,320,2000-01-31,2026-08-31,103.4,,Germany Harmonized Consumer Pr,,,German Federal Statistical Off,2026-10-13T00:00:00.000Z,Index NSA,candidate pending Eurostat dimension check,Germany all-items HICP index level; use log difference. Bloomberg SEASONALITY_AND_TRANSFORMATION=Index NSA.
UMRTDE Index,germany_unemployment_candidate,319,2000-01-31,2026-07-31,4.0,,Eurostat Unemployment Germany,,%,Eurostat,,Percent SA,candidate pending Eurostat dimension check,"Germany unemployment rate, percent; use level. Bloomberg SEASONALITY_AND_TRANSFORMATION=Percent SA."
CZEII Index,czech_import_price_level_candidate,233,2007-02-28,2026-07-31,116.1,,Czech Republic Import Prices,,,Czech Statistical Office,2026-10-12T00:00:00.000Z,Index NSA,candidate pending CZSO comparison,Czech total import-price index level; use log difference. Bloomberg SEASONALITY_AND_TRANSFORMATION=Index NSA.
LONSCZNF Index,nfc_loans_bloomberg_candidate,295,2002-01-31,2026-07-31,67323.0,,Czech Republic Non-Financial C,EUR,Millions,European Central Bank,2026-09-25T00:00:00.000Z,Value NSA,strong comparison candidate,Czech NFC loan stock in EUR millions; convert with EUR/CZK for CZK-equivalent growth; retain ARAD baseline. Bloomberg SEASONALITY_AND_TRANSFORMATION=Value NSA.
