archive,when,note
building_total_nsa_nace2.zip,,"All the series are not available for all countries.

The following updates have been implemented:"
building_total_nsa_nace2.zip,July 2026,Services survey data have been revised for June 2026 for Romania and for January to June 2026 for France (see explanatory note in  Informations rapides - 178 | Insee). These revisions have an impact also on the European aggregates.
building_total_nsa_nace2.zip,May 2026,Business surveys in Malta are temporarily suspended due to changes in partner institutes.
building_total_nsa_nace2.zip,May 2026,Surveys in Estonia are temporarily suspended due to changes in partner institutes.
building_total_nsa_nace2.zip,February 2026,"Portuguese balances for questions Q1, 3, 4 and 5 of the construction survey have been revised for the period 02/2003 to 04/2008. The balances are now in line with the underlying detailed data by answer category."
building_total_nsa_nace2.zip,January 2026,"For the first time, Bulgaria is included in the euro-area aggregate. The historical values have been revised accordingly. Moreover, as in every January, the country weights used to calculate all EU and the euro-area aggregates were updated."
building_total_nsa_nace2.zip,March 2025,Publication of business and consumer survey results for Ireland (IE) is resumed. Consistent time series for 39 monthly balances and 2 quarterly series on capacity utilisation have been restored based on new data collected since August 2024 and regression analysis. See methodological note on the BCS website for details. Re-inclusion of IE data has a small impact also on the EU and EA results.
building_total_nsa_nace2.zip,July 2024,Quarterly question Q6 was withdrawn from dissemination.
building_total_nsa_nace2.zip,January 2024,The country weights used to calculate the EU and the euro-area aggregates were updated
building_total_nsa_nace2.zip,January 2024,Update of business survey weights for Italy: value added referring to 2021 instead of 2012 is used for the aggregation of division data from January 2021 onwards. This has an impact also on the EU/EA aggregates.
building_total_nsa_nace2.zip,February 2023,Temporary discontinuation of the surveys in Ireland
building_total_nsa_nace2.zip,January 2023,"For the first time, Croatia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
building_total_nsa_nace2.zip,May 2022,"Following the introduction of a new sampling method and weighting procedure, time-series related to the Portuguese building, services, retail trade and industrial survey has been backcasted."
building_total_nsa_nace2.zip,April 2022,"Due to a change of the seasonal adjustment method, all seasonally-adjusted survey results have been revised."
building_total_nsa_nace2.zip,January 2022,"Factors limiting production (Q2) have been revised for Czechia, Danemark, Hungary and Sweden."
building_total_nsa_nace2.zip,January 2022,The country weights used to calculate the EU and the euro-area aggregates were updated
building_total_nsa_nace2.zip,October 2021,Factors limiting production (Q2) have been revised for Belgium.
building_total_nsa_nace2.zip,September 2021,Equipment & Material (F5) and other factors (F6) as factors limiting production (question Q2) have been revised for Finland and France.
building_total_nsa_nace2.zip,March 2021,"Following the introduction of a new sampling method and weighting procedure in January 2021, time-series related to the Turkish services, construction survey has been backcasted for the period until (incl.) December 2020.
For Latvian data, a misallocation of survey results to the answering categories of questions BUIL Q2 was remedied. Concretely, for BUIL Q2, the results reported under “factor 6” and “factor 7” were swapped."
building_total_nsa_nace2.zip,January 2021,The country weights used to calculate the EU and the euro-area aggregates were updated.
building_total_nsa_nace2.zip,August 2020,French business survey data for June were significantly revised compared to the original release.
building_total_nsa_nace2.zip,May 2020,"French business survey data for April were significantly revised compared to the original release, owing to a methodological amendment of the treatment of non-response in April."
building_total_nsa_nace2.zip,April 2020,"Response rates were lower than usual due to COVID-19 confinement measures. On average the number of responses was 20% lower than usually.
For France, the deterioration of business survey results is likely underestimated due to the non-response completion design used by the French partner institute (INSEE), relying on past answers for non-responding firms."
building_total_nsa_nace2.zip,March 2020,"In most countries, the large majority of survey responses were collected before strict containment measures were enacted to combat the spread of the Corona virus."
building_total_nsa_nace2.zip,February 2020,"All EU aggregates are calculated on the basis of 27 Member States (i.e. excluding the UK, which withdrew from the EU on 31 January 2020).  The historical values of the EU series have been revised accordingly."
building_total_nsa_nace2.zip,December 2019,"Following the stop of the UK building survey in November 2019, the European aggregate has been recalculated and excludes UK data."
building_total_nsa_nace2.zip,January 2019,"Ireland is included in the European aggregates.
The historical values, as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
building_total_nsa_nace2.zip,May 2018,"Past data for Germany for the period 1991 to 2010 were revised, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
building_total_nsa_nace2.zip,April 2018,"Past data for Germany were revised back to January 2011, reflecting changes in the aggregation of firm-level data and the inclusion of late responses implemented by the data provider (Ifo institute)."
building_total_nsa_nace2.zip,January 2018,"Correction of French data for the question 2 of the construction survey about factors limiting their building activity.
The country weights used to calculate the EU and the euro-area aggregates were updated."
building_total_nsa_nace2.zip,March 2016,"Correction of discrepancies between ISTAT and DG ECFIN data for the Industry, Services, Building and Retail trade surveys."
building_total_nsa_nace2.zip,June 2015,Revision of Romanian Investment survey data between 2011 and 2015
building_total_nsa_nace2.zip,May 2015,"With effect from May 2015, change of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys for Turkey and Serbia. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
building_total_nsa_nace2.zip,January 2015,Lithuania joined the euro area on 1 January 2015 and is included in the EA aggregates.
building_total_nsa_nace2.zip,January 2014,Latvia joined the euro area on 1 January 2014 and is included in the EA aggregates.
building_total_nsa_nace2.zip,July 2013,"For the first time, Croatia is included in the EU aggregate.
The historical values, as well as the country weights, have been revised accordingly."
building_total_nsa_nace2.zip,June 2013,The Italian partner institute (ISTAT) introduced some methodological improvements concerning sampling and survey techniques that could affect data comparability with previous months.
building_total_nsa_nace2.zip,May 2011,"With effect from May 2011, a number of partner institutes in the Joint Harmonised EU programme of Business and Consumer Surveys have changed; Denmark: Services, Retail trade; Spain: Consumers, Services, Retail trade; Portugal: Building. These changes may cause a break in the series and impact to some extent also the ESI figures in the above mentioned countries."
building_total_nsa_nace2.zip,January 2009,"For the first time, Slovakia is included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
building_total_nsa_nace2.zip,May 2008,"Change of partner institute in Greece, Spain and Cyprus; this may cause a break in some series of the survey.
Temporary discontinuation of the survey in Ireland.
The data for Q2-2008 in UK is based on fieldwork conducted in the second month of the quarter (one month later than usual)."
building_total_nsa_nace2.zip,January 2008,"For the first time, Cyprus and Malta are included in the euro-area aggregate.
The historical values (since 1985), as well as the country weights, have been revised accordingly.
The country weights used to calculate the EU and the euro-area aggregates were updated."
building_total_nsa_nace2.zip,January 2007,"For the first time, Bulgaria and Romania are included in the EU aggregate, whilst the euro-area aggregate includes Slovenia.
The historical values (since 1985), as well as the country weights, have been revised accordingly."
building_total_nsa_nace2.zip,September 2006,The countries weights used to calculate the EU and the euro area aggregates were updated.
building_total_nsa_nace2.zip,January 2006,The series for Malta are now available.
building_total_nsa_nace2.zip,December 2005,"The series for Italy / question 12 were revised for the period 1985-2005 (plus and minus answers were inverted).
The European aggregates EU and EA were recomputed."
building_total_nsa_nace2.zip,September 2005,Country weights used to calculate the EU and euro area aggregates were updated and the related series were recomputed.
building_total_nsa_nace2.zip,May 2005,All the series for Luxembourg are now seasonally adjusted.
building_total_nsa_nace2.zip,January 2005,All the series are now available with one decimal (not displayed).
building_total_nsa_nace2.zip,September 2004,"All the series are seasonally adjusted for: CY, LV, LT, PL, SK, BG, RO."
building_total_nsa_nace2.zip,May 2004,The EU aggregate is now calculated including the new Member states.
building_total_nsa_nace2.zip,Every January as of 2007,The weighting scheme used to calculate composite indicators and the long-term average are revised in January. This can lead to slight revisions in past data (see User Guide for more information) during that month.
building_total_sa_nace2.zip,,The following updates have been implemented:
building_total_sa_nace2.zip,July 2026,Services survey data have been revised for June 2026 for Romania and for January to June 2026 for France (see explanatory note in  Informations rapides - 178 | Insee). These revisions have an impact also on the European aggregates.
building_total_sa_nace2.zip,May 2026,Business surveys in Malta are temporarily suspended due to changes in partner institutes.
building_total_sa_nace2.zip,May 2026,Surveys in Estonia are temporarily suspended due to changes in partner institutes.
building_total_sa_nace2.zip,February 2026,"Portuguese balances for questions Q1, 3, 4 and 5 of the construction survey have been revised for the period 02/2003 to 04/2008. The balances are now in line with the underlying detailed data by answer category."
building_total_sa_nace2.zip,January 2026,"For the first time, Bulgaria is included in the euro-area aggregate. The historical values have been revised accordingly. Moreover, as in every January, the country weights used to calculate all EU and the euro-area aggregates were updated."
