source_id,title,source_publication_date,content_update_or_document_date,source_url,evidence_class,notes,retrieved_on
S01,MF VAT announcement,2021-10-20,,https://mf.gov.cz/cs/ministerstvo/media/tiskove-zpravy/2021/nulove-dph-na-elektrickou-energii-a-plyn-43273,dated_official_webpage,"Nov-Dec waiver; date supports announcement, not archived historical bytes",2026-09-14
S02,CZSO November 2021 energy note,2021-12-10,2021-12-09,https://csu.gov.cz/note-to-consumer-prices-of-energy-november-2021,release_link_and_dated_note,Gate uses linked release publication Dec10; page update Dec9 is not public timing proof,2026-09-14
S03,CZSO November 2021 release,2021-12-10,2026-08-12,https://csu.gov.cz/rychle-informace/consumer-price-indices-inflation-november-2021,release_date_explicit,Use metadata/methodology link only; observed CPI must not infer bill effects,2026-09-14
S04,MPO POZE announcement,2022-06-23,,https://mpo.gov.cz/cz/rozcestnik/pro-media/tiskove-zpravy/usporny-tarif-i-odpusteni-poplatku-za-oze--vlada-schvalila-valecny-balicek-na-pomoc-firmam-a-domacnostem--268357/,existing_local_official_archive,Existing data/announcement_sources/poze_waiver_2023/MPO_press_release_2022-06-23_valecny_balicek.md,2026-09-14
S05,MPO saving tariff details,2022-08-25,,https://mpo.gov.cz/cz/rozcestnik/pro-media/tiskove-zpravy/vlada-schvalila-konecnou-podobu-usporneho-tarifu-z-dilny-mpo--269504/,dated_official_webpage,Amounts and eligibility; includes 2023 subsidy subsequently cancelled,2026-09-14
S06,MPO adopted caps and cancellation,2022-10-05,,https://mpo.gov.cz/cz/rozcestnik/pro-media/tiskove-zpravy/vlada-schvalila-zastropovani-cen-energii--pomuze-jak-domacnostem--tak-firmam--270228/,dated_official_webpage,2023 whole-year caps and cancellation of later saving subsidy,2026-09-14
S07,CZSO October 2022 methodology,2022-11-10,2022-11-09,https://csu.gov.cz/note-to-consumer-prices-of-energy-october-2022,dated_note_release_gate,Keep existing conservative release-date gate; no CPI-result backsolve,2026-09-14
S08,ERU 2023 POZE decision 13/2022,2022-11-14,,https://eru.gov.cz/energeticky-regulacni-vestnik-152022,existing_local_original_pdf,Existing archive hash 296da478421840edaa67216f554f0eefdccc260ffd621bd77bc366402dd71cd9; earlier MPO announcement distinct,2026-09-14
S09,ERU 2024 decision 5/2023,2023-11-30,2025-01-03,https://eru.gov.cz/energeticky-regulacni-vestnik-72023,original_dated_pdf_archived,Decision signed Nov29; public page Nov30; capacity/volume POZE formula PDF p22,2026-09-14
S10,ERU 2024 tariff announcement,2023-11-30,2024-12-18,https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024,dated_official_webpage_revised,Headline summaries require declared population; original decree is stronger,2026-09-14
S11,ERU 2025 tariff announcement,2024-11-29,2024-11-29,https://eru.gov.cz/eru-zverejnil-regulovane-slozky-cen-elektriny-plynu-na-rok-2025,dated_official_webpage,Household/small-user gas +8.6; medium/large +8.2,2026-09-14
S12,ERU initial 2026 announcement,2025-11-28,2025-12-02,https://eru.gov.cz/eru-vydal-cenove-vymery-kterymi-stanovi-regulovane-ceny-elektriny-plynu-na-rok-2026-0,dated_official_webpage_revised,Initial LV+1.1 gas+4.7; larger electricity cut conditional,2026-09-14
S13,ERU adopted POZE decree 15/2025,2025-12-29,2025-12-29,https://eru.gov.cz/kopie-z-energeticky-regulacni-vestnik-192025,original_dated_pdf_archived,PDF erv192025.pdf p2 operative zero; p3 references Dec16 government decision,2026-09-14
S14,ERU final 2026 tariff summary,2025-12-29,2026-01-06,https://eru.gov.cz/eru-vydal-zmenovy-cenovy-vymer-kterym-upravuje-regulovane-ceny-na-rok-2026,dated_official_webpage_revised,Final -15.1 already includes POZE; adoption independently in S13,2026-09-14
S15,ERU 2022 regulated prices,2021-12-01,2022-09-19,https://eru.gov.cz/regulovane-slozky-cen-energii-neprekroci-inflaci,dated_official_webpage_revised,47.7 commodity share is end2020; current share59.4; no closed Dec2021 portfolio,2026-09-14
S16,CZSO revised energy-average method,2023-11-10,2024-05-09,https://statistikaamy.csu.gov.cz/statistika-cen-energii,official_methodology_retrospective,Sep2023 method change; Eurostat reference2022 contains only new method; not a 2022 vintage,2026-09-14
S17,ERU 2020 tariff announcement,2019-11-28,2022-05-10,https://eru.gov.cz/eru-vydava-cenova-rozhodnuti-stanovujici-regulovane-ceny-v-elektroenergetice-a-plynarenstvi-pro-pristi-rok,dated_official_webpage_revised,Do not confuse signed Nov26 with published Nov28,2026-09-14
S18,ERU 2021 tariff announcement,2020-11-30,2022-06-21,https://eru.gov.cz/eru-oznamuje-regulovane-ceny-elektriny-a-plynu-pro-rok-2021-0,dated_official_webpage_revised,Regulated components only; 495 MWh ceiling mostly binds for small users,2026-09-14
S19,ERU 2023 tariff announcement,2022-11-16,2024-12-06,https://eru.gov.cz/regulovane-ceny-elektriny-pristi-rok-klesnou-o-167-regulovane-ceny-plynu-o-17-vzrostou,dated_official_webpage_revised,Annual change includes existing Q4-2022 POZE waiver,2026-09-14
S20,CEZ January 2026 product changes,2025-12-30,,https://www.cez.cz/cs/pro-media/tiskove-zpravy/cez-prodej-od-1.-ledna-zlevnuje-elektrinu-i-plyn-pro-16-milionu-domacnosti.-zalohy-se-snizuji-i-diky-poklesu-regulovane-slozky-230772,dated_supplier_primary_source,Product quotes usable; aggregate coverage and reported840 total not closed,2026-09-14
S21,ERU 2024 full decision PDF,2023-11-30,2023-11-29,https://eru.gov.cz/sites/default/files/obsah/prilohy/erv072023.pdf,original_dated_pdf_archived,Downloaded2026-09-14; operative POZE rules visually inspected,2026-09-14
S22,ERU 2026 amendment PDF,2025-12-29,2025-12-29,https://eru.gov.cz/sites/default/files/obsah/prilohy/erv192025.pdf,original_dated_pdf_archived,Downloaded2026-09-14; operative zero and effective date visually inspected,2026-09-14
S23,CZSO January2023 energy methodology,2023-02-10,,https://csu.gov.cz/note-to-consumer-prices-of-energy-january-2023,existing_local_official_archive,Existing data/announcement_sources/poze_waiver_2023/CZSO_note_energy_prices_January_2023_published_2023-02-10.md; use treatment text only,2026-09-14
