"field","period","supported_fact","gap_or_error","required_to_close","status","scenario_only_substitute","source_ids"
"household_population","all_years","No complete CPI population mapping","ERU connection points not households; can include multiple meters","dated_CPI_compatible_population","fail_closed","explicit partial-coverage bounds only","S07"
"household_contract_shares","all_years","Missing supplier x contract-vintage/reset cohort","CEZ example and total1.6m are not national electricity exposure","published cohort shares before origin","fail_closed","fixed0/50/100percent repricing exposure scenarios","S20"
"supplier_contract_prices","2019_2025","No historical comparable product panel","2021CEZ proxy is one supplier and heterogeneous gas change","price list publication effective dates and contract history","fail_closed","declared commodity paths with explicit cohort reset share","S15"
"cez_d02_2026_commodity","2026","3190 exVAT after240 decrease","3430 prior inferred by arithmetic; source price fact valid Dec30","national product weights and comparable fixed fees","partial_fact","use only identified product or named representative scenario","S20"
"distribution_tariff_schedule","all_years","Annual decisions available but not full extracted matched portfolio","Regulated average is not each tariff's monthly relative","DSO tariff rate fixed charge timeband and availability","fail_closed","disjoint regulated-cost sensitivity; cannot add total ERU and POZE","S09;S10;S11;S12"
"supplier_fixed_charge","2023","130 per month provision known","Commodity-cap API does not model supplier fixed cap","original decree unit grandfathering and contract fee","fail_closed","declare fixed fees; do not cap total fixed network fee","S06"
"regulated_fixed_charge","all_years","Missing matched dated DSO breaker fee","R9 single fixed field cannot distinguish supplier/network caps","per-breaker per-DSO rates","fail_closed","separate fixed supplier/network amounts as assumptions","S09"
"poze_capacity","2024","84.70 CZK/A/month; phase multiplier;495MWh ceiling","Comparison period and breaker dimensions absent","breaker amps phases fixed reference volume billing-period rule","partial_fact","495volume-cap-binding sensitivity explicitly labelled","S09;S21"
"poze_capacity_2026","2026","0 from Jan1; initial8.32 replaced","National percent bill effect still needs baseline;2027 unspecified","prechange paid levy and comparable baseline bills","partial_fact","zero applies all contracts; no invented2027reversal","S13;S22"
"vat_scope","2021_2022","0 for NovDec;21restored; CPI tariff-time treatment","Specific treatment public no later thanDec10; not Dec9metadata","complete taxable component base and asof basket","policy_factor_closed_only","beforeDec10 treatment inferred scenario only","S01;S02;S03"
"credit_legal_tariffs","2022","3500 or2000 eligible connection total","Aug23eligibility differs from2021DSO counts","eligible connection population at legal snapshot","partial_fact","do not normalize absent D27d/D61d to treated coverage","S05"
"credit_aggregate_amount","2022","Repo17.4bn budget allocation labelled sourced","National amount not equal household credit; current audit did not re-open MF allocation","exact allocated-vs-paid amount and CPI eligible aggregate","fail_closed","budget-scale sensitivity only; preserve units","S07"
"credit_cpi_spreading_base","2022_2023","CZSO subtracts aggregate monthly subsidy from national expenditure","No source CPI expenditure denominator; do not invert observed electricity CPI","dated national fixed-price/quantity expenditure denominator","fail_closed","aggregate denominator sensitivity with positive net aggregate requirement","S07"
"annual_electricity_quantity","all_years","Repo2021ERU18.542848TWh/5.363859m points","3.457MWh billed quantity not CPI fixed consumption; release date not archived","origin-known volume basis and stable comparable quantities","fail_closed","1/3.5/10MWh year illustrative values","S07"
"quarterly_quantity_spread","2022_2023","R9uses25or28percentQ4","Both are scenario assumptions; CPI note says constant relative-weight consumption","CPI-consistent fixed monthly reference quantities","fail_closed","retain separate scenarios; no selection on observed reversal","S07"
"eurostat_2022_price_vintage","2022_2023_before_Sep2023","Today's reference2022 averages revised after2023method change","Cannot claim6026.9knownOct2022 from presentEurostat series","archived pre-Sep2023original-method release","fail_closed","retrospective illustrative level only with explicit warning","S16"
"eurostat_2021_prices","2021_2022","Full2021bandDC/D2 averages in repo","Full-year statistic not known during2021; old release gates absent; one band","archived halfyear release and coverage interpretation","fail_closed","never backfill full2021average at2021origins","S16"
"eru_commodity_split_2021","2021_2022","47.7end2020 and59.4currentDec1-2021","Do not call52.3a December2021measured regulated split","comparable bill denominator date and tariff mix","partial_fact","47.7vs59.4are alternative dated proxies not optimal split","S15"
"cpi_basket_shares","2019_2026","Repo has2018through2026basket files","2022shares and solved administered denominators are not time-invariant","exact item weight file and release gate per origin","partial_fact","eligible published shares contribution approximation","S07"
"chain_link_weights","all_years","No exact price-updated aggregation weights in R9","Published basket contribution is approximation","official price-update scheme and base levels","fail_closed_exact_replication","label published-weight approximation","S07"
"embedded_baseline_energy","all_years","No closed baseline mapping supplied by source audit","Gross policy add can doublecount January or repeated repricing","same-item baseline energy level path per origin","fail_closed","flat-energy counterfactual allowed only explicit scenario",""
"heat_other_admin","all_years","No closed provider/locality tariff exposure panel","Electricity/gas facts do not cover whole administered block","heat water other regulated price sources and weights","fail_closed","leave baseline contribution; zero new fact is not zero price change",""
"annual_forward_identity","2019_2026","Exact FSBTY1/TTFGCY1 units in local metadata","No verified ticker-specific rolling constant12m rule; not full curve","contract delivery start end roll and historical metadata","partial_fact","declared interpolation conditioning scenario",""
"forward_historical_availability","2019_2026","Nextcalendar-day assumption already in snapshot","2026download not vintage archive; per-observation freshness unknown","historical release stamps and live capture record","assumption_only","eligible quote plus staleness same-date FX; no future full-month mean",""

