lane,model,status,block,variable,source_now,bloomberg,input_verdict,same_results,evidence,note
path,R27 research path (FOOD_ECM_R27),research roster,h0,independent nowcast BASE,nowcast lane (see nowcast rows),—,see nowcast,follows the nowcast,R17 stack: every path keeps HARD_BASE h0,
path,R27 research path (FOOD_ECM_R27),research roster,core,CNB core inflation m/m,fixture cnb_core_mm (ARAD SCPIMZM09MOMPECNA),CZCIXM Index,exact,identical,T1,
path,R27 research path (FOOD_ECM_R27),research roster,food,CZSO food CPI level (division 01),data/research_r14/food/pipeline_log_levels.csv (CZSO 2015=100),"CZCPF Index (2025=100, one decimal)",extremely similar,not identical: see T5c,T5a-T5c,
path,R27 research path (FOOD_ECM_R27),research roster,food,"farm-gate prices, four products (agri4)",CZSO CEN0203B (data/cz_agri_prices_raw.csv),none,not on Bloomberg,stays CZSO,—,
path,R27 research path (FOOD_ECM_R27),research roster,food,food producer prices (food_ppi),CZSO PPI product level (data/cz_ppi_product_raw.csv),none tested,not tested,stays CZSO,—,CZPPA10M is the agricultural m/m; the food-industry PPI ticker was not probed
path,R27 research path (FOOD_ECM_R27),research roster,food,long food history 1995-2025 (R24 drift),CZSO czso_cpi_1995_2025.csv,CPF1CZ / CZCPF (see T8),partial,stays CZSO,T8,
path,R27 research path (FOOD_ECM_R27),research roster,fuel,"weekly pump prices, petrol 95 and diesel",EC Weekly Oil Bulletin files (data/research_r14/fuel/pump_weekly.csv),"ECOBETCZ, ECOBOTCZ Index",exact,identical (T4d),T4a-T4d,
path,R27 research path (FOOD_ECM_R27),research roster,fuel,petrol share of the fuel item,CZSO basket (models/components OFFICIAL_PETROL_SHARE),none,static,static,—,
path,R27 research path (FOOD_ECM_R27),research roster,administered,CNB regulated prices m/m,fixture cnb_regulated_mm (ARAD SCPIMZM02MOMPECNA),CZCIRM Index,exact,identical,T2,
path,R27 research path (FOOD_ECM_R27),research roster,administered,announcement ledger (energy decisions),"data/admin_announcements_history.csv (hand-maintained, sourced documents)",none,documents,stays,—,
path,R27 research path (FOOD_ECM_R27),research roster,alcohol & tobacco,CZSO division 02 m/m,fixture alcohol_tobacco (CZSO 2015=100-based),CZCPA Index / CZCPAMOM Index,extremely similar,not identical: see T6d,T6a-T6d,
path,R27 research path (FOOD_ECM_R27),research roster,compounding,"headline CPI m/m history (annual rates, wedge, scoring truth)",output/independent_path_frozen_inputs.csv (CZSO 2015=100-based; FRED before 2015),CZCIPM (2007-) / CZCPMOM (2015-) Index,extremely similar,not identical: see T3c,T3a-T3c,
path,R27 research path (FOOD_ECM_R27),research roster,weights,CPI basket weights,"CZSO basket files (data/baskets, data/research_r18/categories)",none,static,static,—,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,h0,independent nowcast BASE,nowcast lane (see nowcast rows),—,see nowcast,follows the nowcast,R17 stack: every path keeps HARD_BASE h0,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,core,CNB core inflation m/m,fixture cnb_core_mm (ARAD SCPIMZM09MOMPECNA),CZCIXM Index,exact,identical,T1,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,food,CZSO food CPI level (division 01),data/research_r14/food/pipeline_log_levels.csv (CZSO 2015=100),"CZCPF Index (2025=100, one decimal)",extremely similar,not identical: see T5c,T5a-T5c,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,food,"farm-gate prices, four products (agri4)",CZSO CEN0203B (data/cz_agri_prices_raw.csv),none,not on Bloomberg,stays CZSO,—,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,food,food producer prices (food_ppi),CZSO PPI product level (data/cz_ppi_product_raw.csv),none tested,not tested,stays CZSO,—,CZPPA10M is the agricultural m/m; the food-industry PPI ticker was not probed
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,food,long food history 1995-2025 (R24 drift),CZSO czso_cpi_1995_2025.csv,CPF1CZ / CZCPF (see T8),partial,stays CZSO,T8,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,fuel,"weekly pump prices, petrol 95 and diesel",EC Weekly Oil Bulletin files (data/research_r14/fuel/pump_weekly.csv),"ECOBETCZ, ECOBOTCZ Index",exact,identical (T4d),T4a-T4d,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,fuel,petrol share of the fuel item,CZSO basket (models/components OFFICIAL_PETROL_SHARE),none,static,static,—,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,administered,CNB regulated prices m/m,fixture cnb_regulated_mm (ARAD SCPIMZM02MOMPECNA),CZCIRM Index,exact,identical,T2,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,administered,announcement ledger (energy decisions),"data/admin_announcements_history.csv (hand-maintained, sourced documents)",none,documents,stays,—,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,alcohol & tobacco,CZSO division 02 m/m,fixture alcohol_tobacco (CZSO 2015=100-based),CZCPA Index / CZCPAMOM Index,extremely similar,not identical: see T6d,T6a-T6d,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,compounding,"headline CPI m/m history (annual rates, wedge, scoring truth)",output/independent_path_frozen_inputs.csv (CZSO 2015=100-based; FRED before 2015),CZCIPM (2007-) / CZCPMOM (2015-) Index,extremely similar,not identical: see T3c,T3a-T3c,
path,R24 path (FOOD_NORM_SHIFT_R24),predecessor,weights,CPI basket weights,"CZSO basket files (data/baskets, data/research_r18/categories)",none,static,static,—,
path,FAST (STATE_FAST_R15),reference,h0,independent nowcast BASE,nowcast lane (see nowcast rows),—,see nowcast,follows the nowcast,R17 stack: every path keeps HARD_BASE h0,
path,FAST (STATE_FAST_R15),reference,core,CNB core inflation m/m,fixture cnb_core_mm (ARAD SCPIMZM09MOMPECNA),CZCIXM Index,exact,identical,T1,
path,FAST (STATE_FAST_R15),reference,food,CZSO food CPI level (division 01),data/research_r14/food/pipeline_log_levels.csv (CZSO 2015=100),"CZCPF Index (2025=100, one decimal)",extremely similar,not identical: see T5c,T5a-T5c,
path,FAST (STATE_FAST_R15),reference,food,"farm-gate prices, four products (agri4)",CZSO CEN0203B (data/cz_agri_prices_raw.csv),none,not on Bloomberg,stays CZSO,—,
path,FAST (STATE_FAST_R15),reference,food,food producer prices (food_ppi),CZSO PPI product level (data/cz_ppi_product_raw.csv),none tested,not tested,stays CZSO,—,CZPPA10M is the agricultural m/m; the food-industry PPI ticker was not probed
path,FAST (STATE_FAST_R15),reference,fuel,"weekly pump prices, petrol 95 and diesel",EC Weekly Oil Bulletin files (data/research_r14/fuel/pump_weekly.csv),"ECOBETCZ, ECOBOTCZ Index",exact,identical (T4d),T4a-T4d,
path,FAST (STATE_FAST_R15),reference,fuel,petrol share of the fuel item,CZSO basket (models/components OFFICIAL_PETROL_SHARE),none,static,static,—,
path,FAST (STATE_FAST_R15),reference,administered,CNB regulated prices m/m,fixture cnb_regulated_mm (ARAD SCPIMZM02MOMPECNA),CZCIRM Index,exact,identical,T2,
path,FAST (STATE_FAST_R15),reference,administered,announcement ledger (energy decisions),"data/admin_announcements_history.csv (hand-maintained, sourced documents)",none,documents,stays,—,
path,FAST (STATE_FAST_R15),reference,alcohol & tobacco,CZSO division 02 m/m,fixture alcohol_tobacco (CZSO 2015=100-based),CZCPA Index / CZCPAMOM Index,extremely similar,not identical: see T6d,T6a-T6d,
path,FAST (STATE_FAST_R15),reference,compounding,"headline CPI m/m history (annual rates, wedge, scoring truth)",output/independent_path_frozen_inputs.csv (CZSO 2015=100-based; FRED before 2015),CZCIPM (2007-) / CZCPMOM (2015-) Index,extremely similar,not identical: see T3c,T3a-T3c,
path,FAST (STATE_FAST_R15),reference,weights,CPI basket weights,"CZSO basket files (data/baskets, data/research_r18/categories)",none,static,static,—,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,h0,independent nowcast BASE,nowcast lane (see nowcast rows),—,see nowcast,follows the nowcast,R17 stack: every path keeps HARD_BASE h0,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,core,CNB core inflation m/m,fixture cnb_core_mm (ARAD SCPIMZM09MOMPECNA),CZCIXM Index,exact,identical,T1,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,food,CZSO food CPI level (division 01),data/research_r14/food/pipeline_log_levels.csv (CZSO 2015=100),"CZCPF Index (2025=100, one decimal)",extremely similar,not identical: see T5c,T5a-T5c,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,food,"farm-gate prices, four products (agri4)",CZSO CEN0203B (data/cz_agri_prices_raw.csv),none,not on Bloomberg,stays CZSO,—,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,food,food producer prices (food_ppi),CZSO PPI product level (data/cz_ppi_product_raw.csv),none tested,not tested,stays CZSO,—,CZPPA10M is the agricultural m/m; the food-industry PPI ticker was not probed
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,food,long food history 1995-2025 (R24 drift),CZSO czso_cpi_1995_2025.csv,CPF1CZ / CZCPF (see T8),partial,stays CZSO,T8,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,fuel,"weekly pump prices, petrol 95 and diesel",EC Weekly Oil Bulletin files (data/research_r14/fuel/pump_weekly.csv),"ECOBETCZ, ECOBOTCZ Index",exact,identical (T4d),T4a-T4d,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,fuel,petrol share of the fuel item,CZSO basket (models/components OFFICIAL_PETROL_SHARE),none,static,static,—,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,administered,CNB regulated prices m/m,fixture cnb_regulated_mm (ARAD SCPIMZM02MOMPECNA),CZCIRM Index,exact,identical,T2,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,administered,announcement ledger (energy decisions),"data/admin_announcements_history.csv (hand-maintained, sourced documents)",none,documents,stays,—,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,alcohol & tobacco,CZSO division 02 m/m,fixture alcohol_tobacco (CZSO 2015=100-based),CZCPA Index / CZCPAMOM Index,extremely similar,not identical: see T6d,T6a-T6d,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,compounding,"headline CPI m/m history (annual rates, wedge, scoring truth)",output/independent_path_frozen_inputs.csv (CZSO 2015=100-based; FRED before 2015),CZCIPM (2007-) / CZCPMOM (2015-) Index,extremely similar,not identical: see T3c,T3a-T3c,
path,current core (STABLE_LOCAL_CORE_R14B),presentation frame,weights,CPI basket weights,"CZSO basket files (data/baskets, data/research_r18/categories)",none,static,static,—,
