origin,band,family,config,status,converged,n_train,measure,feature,source_group,value
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,core1,own_core_state,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,core3,own_core_state,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,core12,own_core_state,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,core_acceleration,own_core_state,-0.0001761607794703429
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,midtrend,own_core_state,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,midcycle,own_core_state,-0.007493457086166207
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,services_yoy,domestic,-0.00011613666400233108
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,services_change3,domestic,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,unemployment,domestic,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,unemployment_change3,domestic,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,ip_growth3,domestic,0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,ulc_growth12,domestic,-0.0
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,destination_season,own_core_state,-0.0053882724212356145
2019-02,0,domestic,a1_l0.2,estimated,True,106,coefficients,penalized_constant,constant,0.00431127549157061
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,core1,own_core_state,0.019520618930216598
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,core3,own_core_state,-0.0
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,core12,own_core_state,-0.04826112860268398
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,core_acceleration,own_core_state,0.027070190170389967
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,midtrend,own_core_state,-0.03976563673446497
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,midcycle,own_core_state,-0.0658686122368078
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,goods_yoy,imported_cost,0.10156856317992641
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,goods_change3,imported_cost,-0.02398538457275
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,fx1,imported_cost,-0.010770536772889562
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,fx3,imported_cost,0.015202694971730556
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_23_now,imported_cost,0.0033192261019340838
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_23_mean3,imported_cost,0.00016000251260113275
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_26_now,imported_cost,0.004681896711049042
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_26_mean3,imported_cost,0.03416125221862255
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_45_now,imported_cost,0.006544500772189172
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_45_mean3,imported_cost,0.007580120505289622
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_47_now,imported_cost,0.013205811174883307
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_47_mean3,imported_cost,-0.021695949545133052
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_56_now,imported_cost,-0.016820135273851625
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_56_mean3,imported_cost,0.03960974553517989
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_62_now,imported_cost,0.00843671014181362
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,cost_62_mean3,imported_cost,-0.002440803411402707
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,destination_season,own_core_state,-0.026124142333421616
2019-02,0,imported,a0.01_l0.2,estimated,True,106,coefficients,penalized_constant,constant,0.027999827187732442
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,core1,own_core_state,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,core3,own_core_state,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,core12,own_core_state,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,core_acceleration,own_core_state,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,midtrend,own_core_state,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,midcycle,own_core_state,-0.02654504452611914
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,services_yoy,domestic,-0.032931296371114804
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,services_change3,domestic,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,unemployment,domestic,-0.022700264044293476
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,unemployment_change3,domestic,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,ip_growth3,domestic,0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,ulc_growth12,domestic,-0.0
2019-02,0,both,a0.1_l0.8,estimated,True,106,coefficients,goods_yoy,imported_cost,0.004847055740154382
