param,value,unit,applies_from,applies_to,status,source,notes
vat_rate_standard,21.0,pct,2000-01,2099-12,sourced,https://www.zakonyprolidi.cz,standard VAT on energy
vat_waiver_elec_gas,0.0,pct,2021-11,2021-12,sourced,https://www.mfcr.cz,VAT waived on electricity+gas Nov-Dec 2021 (government decision Oct-2021)
poze_fee,495.0,CZK_per_MWh,2013-01,2022-09,sourced,https://www.zakonyprolidi.cz,"renewables (POZE) levy component of household electricity price, EX-VAT statutory figure (495; the 599 previously stored was the VAT-inclusive amount and was being taxed again -- Codex R4)"
poze_waived,0.0,CZK_per_MWh,2022-10,2023-12,sourced,https://www.zakonyprolidi.cz,POZE waived Oct-2022 through Dec-2023; reinstated Jan-2024
cap_elec_incl_vat,6050.0,CZK_per_MWh,2023-01,2023-12,sourced,https://www.zakonyprolidi.cz/cs/2022-298,decree 298/2022 household electricity cap (COMMODITY component only; network billed on top -- calculator uses cap/VAT)
cap_gas_incl_vat,3025.0,CZK_per_MWh,2023-01,2023-12,sourced,https://www.zakonyprolidi.cz/cs/2022-298,decree 298/2022 household gas cap (commodity component only)
supplier_elec_commodity_change,33.0,pct,2022-01,2022-01,sourced,https://www.zscr.cz/clanek/cez-od-r-2022-zvysi-zakaznikum-cenu-elektriny-zhruba-o-tretinu-jeste-vice-podrazi-plyn-6574,CEZ announced ~+1/3 on electricity commodity eff Jan-2022 (dominant supplier proxy)
supplier_gas_commodity_change,55.0,pct,2022-01,2022-01,sourced,https://www.zscr.cz/clanek/cez-od-r-2022-zvysi-zakaznikum-cenu-elektriny-zhruba-o-tretinu-jeste-vice-podrazi-plyn-6574,CEZ gas +50-67% eff Jan-2022; midpoint used; declared approximation
eru_regulated_component_change_2022,3.7,pct,2022-01,2099-12,sourced,https://eru.gov.cz/regulovane-slozky-cen-energii-neprekroci-inflaci,"ERU Nov-2021: regulated ELECTRICITY component +3.7% for 2022 (the 2.0 stored before was a total-bill impact figure, and its one-month window made the uplift vanish in Feb-2022 -- Codex R4 / L7). Persistent level change; window open-ended"
eru_regulated_gas_component_change_2022,2.4,pct,2022-01,2099-12,sourced,https://eru.gov.cz/regulovane-slozky-cen-energii-neprekroci-inflaci,"ERU Nov-2021: regulated GAS component +2.4% for 2022; applied to the gas network path, which was frozen at 2021 before (L3)"
saving_tariff_credit_elec,17400,CZK_million_total_oct_dec,2022-10,2022-12,sourced,https://mf.gov.cz/cs/ministerstvo/media/tiskove-zpravy/2022/pokladni-plneni-sr-48915,"Total allocation of the saving tariff (electricity credit Oct-Dec 2022): 17.4 bn CZK, Ministry of Finance press release 'Plneni statniho rozpoctu CR za zari 2022' (published 3 Oct 2022: 'v zari z rozpoctu uvolnili 17,4 miliardy na usporny tarif'); the October release (1 Nov 2022) confirms the entire allocation was pre-paid. Cross-check: decree 262/2022 annex amounts (D01d, D02d, D25d 3,500 CZK; D26d, D35d, D45d, D56d, D57d 2,000 CZK) x ERU 2021 connection points per tariff = 17.55 bn. Per-MWh conversion depends on the spreading base (ERU 2021 households billed 18.54 TWh; Q4 share 25-28%): 3,350-3,750 CZK/MWh; CZSO's own note implies about 2,700 CZK/MWh (44.8% of the September level 6,027 CZK/MWh) -> the spreading base CZSO used is the open L-list item, not to be tuned to the CPI outcome. Value stored in million CZK."
avg_household_elec_price_2021,4725.0,CZK_per_MWh,2021-01,2021-12,sourced,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_204?geo=CZ&nrg_cons=KWH2500-4999&unit=KWH&tax=I_TAX&currency=NAC,"Eurostat nrg_pc_204, CZ, band DC (2 500-4 999 kWh), all taxes and levies included, national currency: 2021-S1 4.66 and 2021-S2 4.79 CZK/kWh, mean 4.725 CZK/kWh = 4,725 CZK/MWh (fetched 2026-09-07; the earlier 4,700 placeholder is superseded)"
avg_household_gas_price_2021,1431.0,CZK_per_MWh,2021-01,2021-12,sourced,https://ec.europa.eu/eurostat/api/dissemination/statistics/1.0/data/nrg_pc_202?geo=CZ&nrg_cons=GJ20-199&unit=GJ_GCV&tax=I_TAX&currency=NAC,"Eurostat nrg_pc_202, CZ, band D2 (20-199 GJ), all taxes included, national currency: 2021-S1 403.44 and 2021-S2 391.74 CZK/GJ, mean 397.6 CZK/GJ x 3.6 = 1,431 CZK/MWh (fetched 2026-09-07)"
avg_household_elec_consumption,3.457,MWh_per_year,2021-01,2099-12,sourced_components,https://eru.gov.cz/sites/default/files/obsah/prilohy/eruelektro2021.pdf,"ERU Rocni zprava o provozu ES CR 2021, section 9.6 tariff statistics (three largest regional DSOs, billed quantities): households (MOO) 5,363,859 connection points, 18,542,848 MWh billed in 2021 -> 3.457 MWh per connection point. CZSO energetika table gives national household net consumption about 15.0 TWh (calendar-year basis), i.e. about 2.8 MWh per point; the two bases differ (billed vs consumed) and the ledger must state which it uses. Per tariff (points / MWh): D01d 719,625 / 557,279; D02d 2,803,245 / 5,340,213; D25d 1,035,750 / 4,530,551; D26d 62,760 / 521,451; D27d 893 / 3,953; D35d 11,260 / 93,362; D45d 417,008 / 4,363,701; D56d 56,197 / 845,335; D57d 250,232 / 2,277,419; D61d 6,889 / 9,585"
weight_elec_in_regulated,0.254,share,2019-01,2026-12,sourced_components,data/baskets/spot_kos2022.xlsx; solved administered weight (cz_struct.solve_weights),"electricity 04.510 basket weight 39.64 per mille (2022 basket) over the solved administered weight 0.156 at the 2023-01 origin = 0.254; by regime: 2020 basket 38.55 / 0.138 (2022-01) = 0.279. Replaces the 0.34 placeholder; the CNB regulated basket is the solved weight's object, so the share moves with it"
weight_gas_in_regulated,0.121,share,2019-01,2026-12,sourced_components,data/baskets/spot_kos2022.xlsx; solved administered weight,network gas 04.521 basket weight 18.95 per mille (2022 basket) / 0.156 = 0.121; 2020 basket 21.84 / 0.138 = 0.158. Replaces the 0.16 placeholder
weight_heat_in_regulated,0.088,share,2019-01,2026-12,sourced_components,data/baskets/spot_kos2022.xlsx; solved administered weight,heat and hot water 04.550 basket weight 13.66 per mille (2022 basket) / 0.156 = 0.088; 2020 basket 15.84 / 0.138 = 0.115. Replaces the 0.10 placeholder
poze_fee_reinstated,495.0,CZK_per_MWh,2024-01,2099-12,sourced,https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024,POZE charged again from Jan-2024 (ex-VAT 495)
