policy_id,event,effective_month,source_pub_date,treatment_known_date,affected_items,provenance,notes,source_url
vat_waiver_2021,start,2021-11,2021-10-20,,electricity;gas,reconstructed,"Government VAT waiver on energy Nov-Dec 2021 (decision announced ~Oct-20). CPI-treatment knowledge date UNKNOWN: the 2021-11-10 previously stored was the October-2021 CPI release date, not November's (Codex R4). Left blank = fail-closed in active_events until a CZSO note is sourced",https://www.mfcr.cz
vat_waiver_2021,expiry,2022-01,2021-10-20,,electricity;gas,reconstructed,Waiver lapses -> mechanical Jan-2022 uplift on top of supplier repricing; treatment date unknown (see start row),https://www.mfcr.cz
supplier_repricing_2022,start,2022-01,2021-11-01,2022-02-10,electricity;gas,reconstructed,CEZ +~33% elec announced 2021-11-01 eff Jan-1; gas +50-67%; Bohemia Energy DPI cohort from Oct-2021,https://www.zscr.cz/clanek/cez-od-r-2022-zvysi-zakaznikum-cenu-elektriny-zhruba-o-tretinu-jeste-vice-podrazi-plyn-6574
saving_tariff,start,2022-10,2022-08-24,2022-11-10,electricity,reconstructed,"Usporny tarif state credit Oct-Dec 2022. CZSO's detailed CPI treatment (national expenditure reduction, all households together) was published WITH the October-2022 CPI release on 2022-11-10; 2022-11-01 was the budget-allocation announcement, not the treatment (Codex R4) -> an end-October forecast could not know the treatment",https://csu.gov.cz/note-to-consumer-prices-of-energy-october-2022
saving_tariff,expiry,2023-01,2022-08-24,2022-11-10,electricity,reconstructed,Credit ends Dec-31 -> mechanical Jan-2023 rebound; NOTE levels arithmetic: a -16.9% dip reverses as +20.3% not +16.9% and Jan-2023 regulated +30.9% includes caps+POZE interactions -> NOT a simple inverse,https://csu.gov.cz/note-to-consumer-prices-of-energy-january-2023
poze_waiver,start,2022-10,2022-09-09,2022-11-10,electricity,reconstructed,POZE (renewables levy) waived from Oct-2022; treatment described in the October-2022 CZSO note published with the Oct CPI release,https://csu.gov.cz/note-to-consumer-prices-of-energy-october-2022
poze_waiver,extension,2023-01,2022-11-14,2023-02-10,electricity,sourced_retrospective,"Waiver continues through Dec-2023: ERU price decision 13/2022 of 14 Nov 2022 (point 5.1, POZE component 0 CZK/A/month and 0 CZK/MW/month for 2023; effective 1 Jan 2023); first announced by the government on 23 Jun 2022 (MPO release: 'from this October until the end of next year'); CZSO treatment as a price reduction established by the October-2022 note (10 Nov 2022) and confirmed unchanged by the January-2023 note (10 Feb 2023). Archived under data/announcement_sources/poze_waiver_2023/ (sha256 of the decision 296da478421840ed...). The earlier row carried source_pub_date 2022-12-01 and a bare zakonyprolidi.cz link: replaced.",https://eru.gov.cz/energeticky-regulacni-vestnik-152022
poze_waiver,expiry,2024-01,2023-11-30,2024-02-10,electricity,reconstructed,POZE charged again from Jan-2024 (part of the +65.7% regulated-component announcement),https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024
price_caps_2023,start,2023-01,2022-10-05,2023-02-10,electricity;gas,reconstructed,Cap decree 298/2022 approved 2022-10-05: 6.05/3.025 CZK per kWh incl VAT eff Jan-1-2023 (COMMODITY element). CPI treatment first documented in the January-2023 CZSO note published with the Jan CPI release (2023-02-10); earlier knowledge of the treatment is not sourced (Codex R4),https://www.zakonyprolidi.cz/cs/2022-298
price_caps_2023,expiry,2024-01,2023-11-30,2024-02-10,electricity;gas,reconstructed,Caps lapse end-2023 (commodity below cap by then -> muted CPI effect),https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024
eru_tariffs_2024,start,2024-01,2023-11-30,2024-02-10,electricity;gas,reconstructed,ERU regulated component +65.7% elec (subsidy withdrawal ~59bn CZK); net household bills ~flat as commodity fell,https://eru.gov.cz/eru-zverejnil-regulovane-ceny-elektriny-plynu-na-rok-2024
eru_tariffs_2025,start,2025-01,2024-11-29,2025-02-06,electricity;gas,reconstructed,ERU Nov-2024: household elec bills ~-10%; gas -8.5%,https://eru.gov.cz/eru-zverejnil-regulovane-slozky-cen-elektriny-plynu-na-rok-2025
eru_tariffs_2026,start,2026-01,2025-11-28,2026-02-06,electricity;gas,reconstructed,ERU Nov-2025: +1.1% low-voltage approved initially; larger reduction conditional on later funding decision (per Codex source audit) -> magnitude deliberately NOT recorded from the initial announcement,https://eru.gov.cz/eru-vydal-cenove-vymery-kterymi-stanovi-regulovane-ceny-elektriny-plynu-na-rok-2026-0
