edge,row,value,source_period,available_from,cutoff,source,transform,extra_shift_months
2002-05,65,,None,NaT,2002-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-06,65,,None,NaT,2002-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-07,65,,None,NaT,2002-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-08,65,,None,NaT,2002-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-09,65,,None,NaT,2002-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-10,65,,None,NaT,2002-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-11,65,,None,NaT,2003-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2002-12,65,,None,NaT,2003-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-01,65,,None,NaT,2003-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-02,65,,None,NaT,2003-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-03,65,,None,NaT,2003-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-04,65,,None,NaT,2003-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-05,65,,None,NaT,2003-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-06,65,,None,NaT,2003-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-07,65,,None,NaT,2003-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-08,65,,None,NaT,2003-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-09,65,,None,NaT,2003-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-10,65,,None,NaT,2003-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-11,65,,None,NaT,2004-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2003-12,65,,None,NaT,2004-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-01,65,,None,NaT,2004-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-02,65,,None,NaT,2004-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-03,65,,None,NaT,2004-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-04,65,,None,NaT,2004-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-05,65,,None,NaT,2004-07-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-06,65,,None,NaT,2004-08-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-07,65,,None,NaT,2004-09-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-08,65,,None,NaT,2004-10-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-09,65,,None,NaT,2004-11-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-10,65,,None,NaT,2004-12-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-11,65,,None,NaT,2005-01-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2004-12,65,,None,NaT,2005-02-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-01,65,,None,NaT,2005-03-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-02,65,,None,NaT,2005-04-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-03,65,,None,NaT,2005-05-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
2005-04,65,,None,NaT,2005-06-09 00:00:00,bbg__gas_year1_user_selected__month_mean,T0,0
