column,coicop2018_code,label_cs,level,sector,primary_measurement,scope_note,first_month,last_month,observations,index_base,seasonal_adjustment,geography,households,tax_adjustment,cnb_core_membership,classification_vintage,available_from_rule,available_from_kind,source_dataset,source_url,source_raw_sha256,available_from
food,011,Potraviny,group,food,False,Food aggregate; outside the primary core-associated panel.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
nonalcoholic_beverages,012,Nealkoholické nápoje,group,food,False,Beverages aggregate; outside primary panel.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
alcoholic_beverages,021,Alkoholické nápoje,group,alcohol_tobacco,False,Includes excise-tax effects.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
tobacco,023,Tabák,group,alcohol_tobacco,False,Includes excise-tax effects; older baskets use 022.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
clothing,031,Odívání,group,mixed_goods_services,False,"Includes cleaning, repair, tailoring and rental; goods-dominant.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
footwear,032,Obuv,group,mixed_goods_services,False,"Includes cleaning, repair and rental; goods-dominant.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
actual_rent,041,Nájemné za bydlení,group,housing,True,"Actual housing rent; national CPI raw group, not a CNB-core flag.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
imputed_rent,042,Imputované nájemné za bydlení (náklady vlastnického bydlení),group,housing,True,Owner housing costs; national CPI includes this; HICP differs.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
housing_maintenance,043,"Drobné opravy, údržba a zabezpečení bydlení",group,mixed_goods_services,False,"Minor repair, maintenance and security: mixed materials/services.",2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
water_housing_services,044,Dodávka vody a ostatní služby související s bydlením,group,regulated_exposure,False,Water and other dwelling services; regulation exposure.,2015-01,2026-08,140,2015=100,NSA,CZ,all households (0),none; first-round taxes retained,not supplied; measurement proxy only,current COICOP2018 history retrieved 2026-09-22T21:05:12.058703+00:00,entire current-vintage source available no earlier than retrieval completion,"actual retrieval completion, not historical first-release availability",CZSO CEN0101E,https://data.csu.gov.cz/opendata/sady/CEN0101E/distribuce/csv,da38ba0d08f5de15435df54c1db8d2c3b25baaadd3739f762992dbf649cec56c,2026-09-22T21:05:12.058703+00:00
