paper_number,transform,paper_description,ec_indicator_code,ticker,alias,bloomberg_source,status,note
1,T0,Production development observed over past 3 months,INDU_001,EUI6CZ Index,production_observed_past3m,European Commission,likely_exact,BDP long name is Recent Production Trend; verify the exact EC answer-balance field.
2,T0,Production expectations over next 3 months,INDU_005,EUI1CZ Index,production_expected_next3m,European Commission,likely_exact,BDP long name is Production Expectations; verify the exact EC answer-balance field.
3,T3,Business-situation development over past 3 months,SERV_001,EUS1CZ Index,services_business_situation_past3m,European Commission,proxy_definition_mismatch,BDP long name is Business Climate; do not label this exact until the paper’s SERV_001 question is matched.
4,T3,Evolution of demand over past 3 months,SERV_002,EUS2CZ Index,services_demand_past3m,European Commission,proxy_definition_mismatch,BDP long name is Demand in Recent Month; the paper asks the past-three-month question.
5,T3,Business-activity/sales development over past 3 months,RETA_001,EUR1CZ Index,retail_sales_past3m,European Commission,proxy_definition_mismatch,BDP long name is Present Business Situation; match the paper’s RETA_001 question before use.
6,T3,Building-activity development over past 3 months,BUIL_001,EUB1CZ Index,building_activity_past3m,European Commission,proxy_definition_mismatch,BDP long name is Trend of Activity Compared with Past Month; match the paper’s BUIL_001 question before use.
7,T3,Construction factor limiting activity: shortage of labour,BS-FLBA4-PC,EUB5F4CZ Index,building_constraint_labour,European Commission,confirmed_by_mnemonic,BDP long name is Shortage of Labour Czechia; percentage of firms.
8,T3,Construction factor limiting activity: shortage of material/equipment,BS-FLBA5-PC,EUB5F5CZ Index,building_constraint_material_equipment,European Commission,confirmed_by_mnemonic,BDP long name is Shortage of Materials Czechia; percentage of firms.
9,T3,Construction factor limiting activity: financial constraints,BS-FLBA7-PC,EUB5F7CZ Index,building_constraint_financial,European Commission,corrected,The requested EUB5F6 is Other Factors; F7 is Financial Constraints Czechia.
10,T3,Consumer financial situation expected over next 12/13 months,CONS_002,EUCCCZ Index,consumer_confidence_broad_diagnostic,European Commission,mismatch_broad_confidence,BDP long name is Consumer Confidence Indicator Czech Republic; it is not the detailed financial-situation expectation question.
11,T0,Czech unemployment,,UMRTCZ Index,unemployment_rate,Eurostat,likely_exact,BDP long name is Eurostat Unemployment Czech Republic SA; preserve percent units and release date.
12,T0,Czech industrial production index,,CZIPITN Index,industrial_production_level_nsa,Czech Statistical Office,pending_bloomberg_pull,"Selected replacement for the removed CZIPITWY YoY series; verify fixed-base NSA level, units, frequency and base year before use."
13,T0,Czech building permits converted to monthly counts,,CZGRIDX Index,building_permits_raw_candidate,Czech Statistical Office,pending_bloomberg_pull,"User-supplied candidate. Do not assume direct or cumulative units. Pull BDP metadata and raw PX_LAST history first; classify direct monthly count, Jan-to-date cumulative count, fixed-base index, YoY rate, value or dwelling count. Only a total Czech permit-count concept is eligible. If cumulative, difference within calendar year (January equals the January cumulative value), retain raw history and release dates, and document revisions."
14,T0,CNB Rushin activity index,,CZRUSHIN Index,rushin_weekly,Czech National Bank,confirmed_concept,BDP long name is Rushin Weekly Economic Activity Index; starts 2008-06-30 and is weekly.
17,T0,Nominal unit labour costs,,LCTQCZI Index,nominal_ulc_quarterly,Czech Statistical Office,pending_bloomberg_pull,"Selected quarterly input; the paper temporally disaggregates quarterly ULC to monthly with Chow-Lin. Verify definition, units, coverage and release timing before use."
30,T3,Czech services demand expectations over next 3 months,SERV_003,EUS3CZ Index,services_demand_expectations_next3m,European Commission,pending_definition_check,"User-supplied Bloomberg candidate. Bloomberg calls it 'expected in the month ahead'; map to the official BS-SAEM next-three-month question only after BDP metadata and Eurostat levels are checked."
37,T3,Construction employment expectations,BUIL_004,EUB3CZ Index,construction_employment_expectations,European Commission,pending_definition_check,"User-supplied Bloomberg candidate; verify BDP long name, seasonally adjusted percentage-balance units, monthly frequency and release timing before using as paper variable 37."
diagnostic,,Construction factor limiting activity: other,BS-FLBA6-PC,EUB5F6CZ Index,building_constraint_other_diagnostic,European Commission,diagnostic_only,Keep for audit; never substitute for paper variable 9.
23,T2,German HICP all-items index,,GRCPHCPI Index,germany_hicp_level_candidate,Eurostat,pending_definition_check,"User-supplied Bloomberg candidate. Verify BDP long name, all-items coverage, monthly index-level units, NSA/SA flag, history back to the paper start and release timing. A6 transform is log difference of the level."
24,T0,German unemployment rate,,UMRTDE Index,germany_unemployment_candidate,Eurostat,pending_definition_check,"User-supplied Bloomberg candidate, analogous to UMRTCZ. Verify total age 15-74, seasonally adjusted percent, monthly frequency and release timing. A6 transform is the level."
26,T2,Czech import-price index level,,CZEII Index,czech_import_price_level_candidate,Czech Statistical Office,pending_definition_check,"User-supplied Bloomberg candidate. Verify total import-price index level, monthly frequency, units and coverage; reject a published m/m or y/y rate, export-price, terms-of-trade or trade-flow series. Compare log changes with CZSO before use."
58,T2,Czech-resident non-financial-corporation loan balance,,LONSCZNF Index,nfc_loans_bloomberg_candidate,Czech National Bank/Bloomberg,pending_definition_check,"User-supplied candidate. Verify outstanding nominal stock (not transactions), all maturities, Czech-resident NFC sector, bank/MFI perimeter and CNB inclusion, monthly month-end frequency, units, seasonal-adjustment status and history. Compare level and log difference with the ARAD VST total; do not silently replace the baseline."
