observation_date,PX_LAST
1990-12-31,39400.0
1991-01-31,58900.0
1991-02-28,74800.0
1991-03-31,89800.0
1991-04-30,106700.0
1991-05-31,118300.0
1991-06-30,139400.0
1991-07-31,165600.0
1991-08-31,182800.0
1991-09-30,202200.0
1991-10-31,211300.0
1991-11-30,217500.0
1991-12-31,221700.0
1992-01-31,231200.0
1992-02-29,217600.0
1992-03-31,195200.0
1992-04-30,168900.0
1992-05-31,149700.0
1992-06-30,141700.0
1992-07-31,140200.0
1992-08-31,139300.0
1992-09-30,137000.0
1992-10-31,131300.0
1992-11-30,128900.0
1992-12-31,134800.0
1993-01-31,158100.0
1993-02-28,156200.0
1993-03-31,151600.0
1993-04-30,142600.0
1993-05-31,136100.0
1993-06-30,138600.0
1993-07-31,148600.0
1993-08-31,158600.0
1993-09-30,167000.0
1993-10-31,169400.0
1993-11-30,175800.0
1993-12-31,185200.0
1994-01-31,198800.0
1994-02-28,196600.0
1994-03-31,184500.0
1994-04-30,171900.0
1994-05-31,162500.0
1994-06-30,160100.0
1994-07-31,165200.0
1994-08-31,163800.0
1994-09-30,163900.0
1994-10-31,160500.0
1994-11-30,161200.0
1994-12-31,166500.0
1995-01-31,177800.0
1995-02-28,173700.0
1995-03-31,161500.0
1995-04-30,151000.0
1995-05-31,143200.0
1995-06-30,144000.0
1995-07-31,152300.0
1995-08-31,155300.0
1995-09-30,154000.0
1995-10-31,146100.0
1995-11-30,148000.0
1995-12-31,153000.0
1996-01-31,164400.0
1996-02-29,164000.0
1996-03-31,159200.0
1996-04-30,148700.0
1996-05-31,141200.0
1996-06-30,144100.0
1996-07-31,158300.0
1996-08-31,163000.0
1996-09-30,169000.0
1996-10-31,170500.0
1996-11-30,175800.0
1996-12-31,186300.0
1997-01-31,205200.0
1997-02-28,206700.0
1997-03-31,199600.0
1997-04-30,195000.0
1997-05-31,193400.0
1997-06-30,202600.0
1997-07-31,222400.0
1997-08-31,230300.0
1997-09-30,247600.0
1997-10-31,249500.0
1997-11-30,254100.0
1997-12-31,268900.0
1998-01-31,287100.0
1998-02-28,289200.0
1998-03-31,284100.0
1998-04-30,277600.0
1998-05-31,275300.0
1998-06-30,289500.0
1998-07-31,313800.0
1998-08-31,330000.0
1998-09-30,350700.0
1998-10-31,351800.0
1998-11-30,362800.0
1998-12-31,386900.0
1999-01-31,416940.0
1999-02-28,427994.0
1999-03-31,433340.0
1999-04-30,423884.0
1999-05-31,421574.0
1999-06-30,435005.0
1999-07-31,456716.0
1999-08-31,465454.0
1999-09-30,469840.0
1999-10-31,464064.0
1999-11-30,465965.0
1999-12-31,487623.0
2000-01-31,508451.0
2000-02-29,506111.0
2000-03-31,493442.0
2000-04-30,471200.0
2000-05-31,453843.0
2000-06-30,451396.0
2000-07-31,469728.0
2000-08-31,467264.0
2000-09-30,458272.0
2000-10-31,445174.0
2000-11-30,442232.0
2000-12-31,457369.0
2001-01-31,474077.0
2001-02-28,466120.0
2001-03-31,451516.0
2001-04-30,433325.0
2001-05-31,420578.0
2001-06-30,420267.0
2001-07-31,439759.0
2001-08-31,443637.0
2001-09-30,440472.0
2001-10-31,437299.0
