fact_id,source_id,field,value,unit,reference_period,population,evidence_kind,national_weight_eligible,implication,url
ERU_first_period,ERU_E_templates,first_reporting_period,2026-H1,half-year,2026-H1,qualifying electricity suppliers,reporting_rule,False,No historical 2019-2025 contract data supplied by this scheme,https://eru.gov.cz/vzory-sablon-xlsx-json-souboru-pro-predkladani-souhrnnych-informaci-podle-monitorovaci-vyhlasky
ERU_deadline,ERU_E_templates,first_submission_deadline,2026-08-25,date,2026-H1,qualifying electricity suppliers,reporting_rule,False,Submission deadline is not public data publication date,https://eru.gov.cz/vzory-sablon-xlsx-json-souboru-pro-predkladani-souhrnnych-informaci-podle-monitorovaci-vyhlasky
ERU_portfolio_threshold,ERU_reporting_manual,minimum_supplier_supply_points,1000,supply points,2026-H1,qualifying electricity/gas retail customers,reporting_rule,False,Excludes smaller suppliers; legal entities and points do not identify unique CPI households,https://eru.gov.cz/sites/default/files/obsah/prilohy/metodickapriruckavyplnovanisablonv31.pdf
ERU_E_revenue_threshold,ERU_reporting_manual,minimum_supplier_supply_points,15000,supply points,2026-H1,electricity revenue survey mvE2,reporting_rule,False,Page 8: revenue coverage differs from portfolio coverage,https://eru.gov.cz/sites/default/files/obsah/prilohy/metodickapriruckavyplnovanisablonv31.pdf
ERU_G_revenue_threshold,ERU_reporting_manual,minimum_supplier_supply_points,10000,supply points,2026-H1,gas revenue survey mvG6,reporting_rule,False,Page 12: revenue coverage differs from portfolio coverage,https://eru.gov.cz/sites/default/files/obsah/prilohy/metodickapriruckavyplnovanisablonv31.pdf
ERU_period_semantics,ERU_reporting_manual,obdobi,YYYY-01=H1;YYYY-02=H2,half-year,all reporting periods,all ERU monitoring forms,methodology,False,Pages 3 and 13: never parse 2026-01 as January monthly exposure,https://eru.gov.cz/sites/default/files/obsah/prilohy/metodickapriruckavyplnovanisablonv31.pdf
ERU_quantity_semantics,ERU_reporting_manual,planovanaSpotrebaMwh,,planned/predicted annual MWh,snapshot end of half-year,mvE1/mvG5 supply points,methodology,False,Page 6: contract or prior-12-month fallback possible; not fixed CPI reference quantities,https://eru.gov.cz/sites/default/files/obsah/prilohy/metodickapriruckavyplnovanisablonv31.pdf
ERU_price_semantics,ERU_commodity_mean,obchodniSlozkaCenyPrumer,,CZK/MWh at snapshot date,June 30 or December 31,reported portfolio,methodology,False,For monthly products the June/December price; not the semester average price,https://eru.gov.cz/jak-mame-vypocitat-ukazatel-obchodnislozkacenyprumer
ERU_fee_semantics,ERU_fixed_mean,stalyPlatPrumer,daily_rate*365/12,CZK/point/month,June 30 or December 31,reported portfolio,methodology,False,Daily fees converted using 365/12; snapshot fee not half-year paid revenue,https://eru.gov.cz/jak-mame-vypocitat-ukazatel-stalyplatprumer
ERU_SVJ,ERU_joint_building_population,category_D_includes_SVJ,True,boolean,2026 reporting,apartment-owner associations with tariff D,methodology,False,One supply point may serve shared building use; cannot equate point count with household count,https://eru.gov.cz/mame-zapocitavat-mezi-konecne-spotrebitele-nebo-podnikajici-fyzicke-osoby-z-pohledu-monitorovaci
ERU_B,ERU_contract_B,contract_type_B,fixed term with non-fixed price; excludes A and E,category,2026 reporting,electricity/gas contract classifications,methodology,False,Fixed term does not mean fixed price; A dynamic; E formula-based,https://eru.gov.cz/co-je-smlouva-typu-b-jak-se-odlisuje-zejmena-od-smlouvy-typu-e-ss-5-odst-1-pism-b-vyhlasky
ERU_fixed_price_steps,ERU_contract_types,fixed_price_contract,can have pre-agreed annual price steps,contract feature,2026 clarification,electricity/gas customers,methodology,False,Contract expiry and pre-agreed price reset dates are different required fields,https://eru.gov.cz/jake-jsou-typy-smluv-pro-elektrinu-plyn-pro-koncoveho-spotrebitele
EU_E_legacy_coverage,EUROSTAT_electricity_CZ,stated_household_sample_coverage,0.9,customer fraction,reference period unspecified in metadata section 3.6,7 of 50 electricity suppliers; methodology transition noted,observed_metadata_only,False,Do not assign 90 percent CPI coverage or carry across history,https://ec.europa.eu/eurostat/cache/metadata/EN/nrg_pc_204_sims_cz.htm
EU_G_legacy_coverage,EUROSTAT_gas_CZ,stated_household_sample_coverage,0.6,customer fraction,reference period unspecified in metadata section 3.6,3 of 50 gas suppliers; section 18.5 also describes seven main energy retailers,observed_metadata_only,False,Different legacy/new sample statements; cannot identify current fuel-specific coverage,https://ec.europa.eu/eurostat/cache/metadata/EN/nrg_pc_202_sims_cz.htm
HICP_tariff_weights,EUROSTAT_hicp_CZ,tariff_provider_weight_basis,turnover,expenditure basis,2025 metadata,Czech HICP tariff index,methodology,False,Provider turnover weights are not household counts; national CPI detailed weights still require mapping,https://ec.europa.eu/eurostat/cache/metadata/EN/prc_hicp_esmshi3_cz.htm
CZSO_E_survey,CZSO_Elek_2025,collected_household_fields,revenue_components;MWh;customers_by_band,mixed units,2025 survey design,sampled low-voltage households/businesses,reporting_rule,False,Quarterly household detail does not directly release monthly fixed CPI expenditure,https://csu.gov.cz/vykazy/ceny-elek-1-12-mesicni-vykaz-o-cenach-elektricke-energie_psz_2025
CZSO_G_survey,CZSO_gas_2026,collected_household_fields,revenue_components;MWh;customers_by_group,mixed units,2026 survey design,sampled gas customers,reporting_rule,False,Quarterly survey due 30 days after quarter; reporting deadline not dissemination date,https://csu.gov.cz/vykazy/ceny-e-6-04-ctvrtletni-vykaz-o-cenach-zemniho-plynu-pro-konecne-zakazniky_psz_2026
CZSO_accrual,CZSO_energy_method,measurement_period,consumption period,accrual,2023 explanation,CPI and average household energy prices,methodology,False,Advances/settlements are not the CPI price timing rule,https://statistikaamy.csu.gov.cz/statistika-cen-energii
