item,field,evidence_status,value,available_from,archived_vintage,cpi_comparable,candidate_source_ids,exact_required_data,remaining_gap
electricity,cohort_shares,unavailable,,,False,False,ERU_E_schema;ERU_G_schema,actual mvE1/mvG5 rows by supplier;household category;tariff/band;contract type plus excluded-population totals,Reporting structure located; no published populated dataset found in inspected sources; supply points not unique households
electricity,reset_schedule,unavailable,,,False,False,ERU_contract_types;ERU_E_schema;ERU_G_schema,remaining price-fix expiry month and every pre-agreed price step by joint contract/consumption cohort; not original contract duration,No individual expiry/reset date field; semiannual flows cannot identify monthly remaining maturity
electricity,fixed_quantities,unavailable,,,False,False,ERU_reporting_manual;CZSO_Elek_2025;CZSO_gas_2026,fixed CPI quantity and tax-inclusive base expenditure by joint cohort; annual consumption and VT/NT split with reference year,Planned/recent annual MWh and realized volumes differ from fixed CPI quantities
electricity,tariff_components,unavailable,,,False,False,CEZ_2026_price_release;ERU_E_schema;ERU_G_schema,full supplier/DSO/product vintage tariff panel;fixed fees;breaker/phases;energy taxes;discounts;VAT base;POZE inclusion flag,One commodity tariff fact and summary fields do not close the nationwide bill schedule
electricity,cpi_mapping,unavailable,,,False,False,EUROSTAT_hicp_CZ;CZSO_energy_method,Czech national CPI provider/product weights and turnover linkage;household/point bridge;scope/chain-link confirmation,HICP methodology context available; national CPI historical matrix and comparability proof missing
electricity,item_weights,unavailable,,,False,False,EUROSTAT_hicp_CZ,origin-available national CPI electricity/gas weights plus price-update/chain-link basis at every required date,Published basket levels in older repository not re-certified here as historical chain-link vintages
electricity,baseline_energy,unavailable,,,False,False,R17_energy_spec,baseline item-level energy relative for exactly the same origin target and index level base,Baseline has no identified household electricity/gas subpath for replacement
electricity,credit_denominator,unavailable,,,False,False,CZSO_saving_treatment;CZSO_Elek_2025,Oct/Nov/Dec 2022 national pre-credit fixed-quantity electricity expenditure;total compensation;coverage and VAT treatment;original availability date,Realized quarterly revenues and revised band prices cannot substitute or identify denominator from observed CPI
gas,cohort_shares,unavailable,,,False,False,ERU_E_schema;ERU_G_schema,actual mvE1/mvG5 rows by supplier;household category;tariff/band;contract type plus excluded-population totals,Reporting structure located; no published populated dataset found in inspected sources; supply points not unique households
gas,reset_schedule,unavailable,,,False,False,ERU_contract_types;ERU_E_schema;ERU_G_schema,remaining price-fix expiry month and every pre-agreed price step by joint contract/consumption cohort; not original contract duration,No individual expiry/reset date field; semiannual flows cannot identify monthly remaining maturity
gas,fixed_quantities,unavailable,,,False,False,ERU_reporting_manual;CZSO_Elek_2025;CZSO_gas_2026,fixed CPI quantity and tax-inclusive base expenditure by joint cohort; annual consumption and VT/NT split with reference year,Planned/recent annual MWh and realized volumes differ from fixed CPI quantities
gas,tariff_components,unavailable,,,False,False,CEZ_2026_price_release;ERU_E_schema;ERU_G_schema,full supplier/DSO/product vintage tariff panel;fixed fees;breaker/phases;energy taxes;discounts;VAT base;POZE inclusion flag,One commodity tariff fact and summary fields do not close the nationwide bill schedule
gas,cpi_mapping,unavailable,,,False,False,EUROSTAT_hicp_CZ;CZSO_energy_method,Czech national CPI provider/product weights and turnover linkage;household/point bridge;scope/chain-link confirmation,HICP methodology context available; national CPI historical matrix and comparability proof missing
gas,item_weights,unavailable,,,False,False,EUROSTAT_hicp_CZ,origin-available national CPI electricity/gas weights plus price-update/chain-link basis at every required date,Published basket levels in older repository not re-certified here as historical chain-link vintages
gas,baseline_energy,unavailable,,,False,False,R17_energy_spec,baseline item-level energy relative for exactly the same origin target and index level base,Baseline has no identified household electricity/gas subpath for replacement
